iter	Passed	Remaining
0	157	156959
1	157	78802
2	158	52700
3	159	39621
4	159	31777
5	160	26549
6	160	22823
7	161	20066
8	162	17910
9	163	16162
10	163	14729
11	164	13535
12	164	12524
13	165	11657
14	166	10924
15	167	10292
16	168	9721
17	168	9205
18	169	8740
19	169	8325
20	170	7948
21	171	7607
22	171	7298
23	172	7013
24	173	6749
25	174	6522
26	174	6303
27	175	6092
28	176	5895
29	176	5710
30	177	5543
31	177	5382
32	178	5229
33	178	5083
34	179	4948
35	180	4823
36	180	4704
37	181	4591
38	181	4483
39	182	4381
40	183	4284
41	183	4191
42	184	4102
43	184	4017
44	185	3934
45	185	3856
46	186	3780
47	187	3708
48	187	3640
49	188	3582
50	189	3520
51	189	3460
52	190	3401
53	191	3346
54	191	3292
55	192	3246
56	193	3195
57	193	3146
58	195	3112
59	195	3068
60	196	3022
61	196	2978
62	197	2935
63	197	2894
64	198	2853
65	198	2814
66	199	2777
67	199	2740
68	200	2707
69	201	2675
70	201	2643
71	202	2611
72	203	2579
73	203	2548
74	204	2518
75	204	2489
76	205	2463
77	206	2436
78	206	2409
79	207	2385
80	208	2360
81	208	2335
82	208	2307
83	209	2283
84	209	2259
85	210	2236
86	210	2213
87	211	2191
88	211	2169
89	212	2148
90	213	2129
91	213	2109
92	214	2090
93	214	2070
94	215	2051
95	216	2036
96	217	2020
97	217	2002
98	218	1985
99	218	1968
100	219	1951
101	219	1934
102	220	1919
103	220	1903
104	221	1890
105	222	1875
106	222	1860
107	223	1846
108	224	1831
109	224	1817
110	225	1803
111	225	1790
112	226	1777
113	227	1765
114	227	1752
115	228	1739
116	228	1725
117	229	1713
118	229	1701
119	230	1689
120	231	1678
121	231	1666
122	232	1655
123	232	1644
124	233	1632
125	233	1622
126	234	1610
127	234	1599
128	235	1589
129	235	1578
130	236	1570
131	237	1560
132	237	1550
133	238	1543
134	239	1534
135	240	1525
136	240	1516
137	241	1511
138	242	1502
139	243	1493
140	243	1484
141	243	1474
142	244	1465
143	245	1456
144	245	1448
145	246	1440
146	246	1432
147	247	1424
148	248	1417
149	248	1409
150	249	1401
151	249	1394
152	250	1386
153	250	1378
154	251	1370
155	252	1363
156	252	1356
157	253	1349
158	253	1342
159	254	1336
160	255	1329
161	255	1322
162	256	1316
163	256	1309
164	257	1302
165	257	1295
166	258	1289
167	259	1284
168	259	1278
169	260	1273
170	262	1271
171	262	1265
172	263	1259
173	264	1253
174	264	1247
175	265	1241
176	265	1236
177	267	1233
178	267	1228
179	268	1225
180	269	1219
181	270	1213
182	270	1207
183	271	1202
184	271	1196
185	272	1190
186	272	1185
187	273	1179
188	273	1174
189	274	1168
190	274	1163
191	275	1157
192	276	1156
193	277	1152
194	278	1147
195	278	1143
196	279	1138
197	279	1133
198	280	1128
199	280	1123
200	281	1118
201	282	1114
202	282	1109
203	283	1104
204	283	1100
205	284	1095
206	284	1090
207	285	1086
208	285	1081
209	286	1076
210	286	1072
211	287	1067
212	287	1063
213	288	1058
214	288	1054
215	289	1049
216	289	1045
217	290	1041
218	290	1037
219	291	1034
220	292	1030
221	293	1026
222	293	1022
223	294	1018
224	294	1014
225	294	1010
226	295	1007
227	296	1003
228	297	1000
229	297	996
230	298	993
231	298	989
232	299	985
233	299	981
234	300	977
235	300	973
236	301	970
237	301	966
238	302	962
239	302	958
240	303	955
241	303	952
242	304	948
243	305	945
244	305	942
245	307	941
246	307	938
247	308	934
248	308	931
249	309	928
250	310	925
251	310	922
252	311	918
253	311	916
254	312	913
255	313	910
256	313	907
257	314	903
258	314	900
259	315	897
260	315	894
261	316	890
262	316	887
263	317	884
264	317	881
265	318	878
266	318	874
267	319	871
268	319	868
269	320	865
270	321	864
271	321	861
272	322	858
273	323	855
274	323	852
275	324	850
276	324	847
277	325	844
278	325	842
279	327	841
280	327	838
281	328	835
282	328	833
283	329	830
284	329	827
285	330	825
286	331	822
287	331	820
288	332	817
289	332	815
290	333	812
291	334	810
292	334	807
293	335	805
294	335	802
295	336	801
296	337	798
297	337	796
298	338	793
299	339	791
300	339	788
301	340	786
302	340	783
303	341	781
304	341	779
305	342	776
306	343	774
307	343	772
308	344	769
309	344	767
310	345	764
311	345	762
312	346	760
313	346	757
314	347	755
315	347	753
316	348	750
317	349	748
318	349	746
319	350	744
320	351	743
321	352	741
322	353	740
323	353	738
324	354	736
325	355	734
326	356	734
327	357	731
328	357	729
329	358	728
330	359	726
331	360	724
332	360	722
333	361	720
334	362	718
335	362	717
336	363	715
337	364	713
338	364	711
339	365	709
340	365	707
341	366	704
342	366	702
343	367	700
344	368	698
345	368	696
346	369	694
347	369	692
348	370	690
349	370	688
350	371	687
351	372	685
352	373	683
353	373	681
354	374	680
355	376	680
356	377	679
357	378	678
358	379	677
359	379	675
360	380	673
361	381	672
362	382	671
363	383	669
364	383	667
365	384	665
366	384	663
367	385	661
368	385	659
369	386	657
370	386	655
371	387	654
372	388	652
373	389	651
374	390	650
375	390	648
376	391	647
377	392	645
378	392	643
379	393	641
380	393	640
381	394	638
382	394	636
383	395	634
384	395	632
385	396	630
386	396	628
387	397	626
388	397	624
389	398	623
390	398	621
391	399	619
392	399	617
393	400	615
394	400	613
395	401	612
396	401	610
397	402	608
398	402	606
399	403	604
400	404	604
401	405	603
402	406	602
403	407	600
404	407	598
405	408	596
406	408	595
407	409	593
408	409	592
409	410	590
410	410	588
411	411	586
412	411	585
413	412	583
414	412	581
415	413	580
416	413	578
417	414	576
418	414	575
419	415	573
420	415	571
421	416	569
422	416	568
423	417	566
424	417	565
425	418	563
426	418	562
427	419	560
428	420	559
429	420	558
430	421	556
431	422	554
432	422	553
433	423	551
434	423	550
435	424	548
436	424	547
437	425	545
438	425	544
439	426	542
440	426	540
441	427	539
442	427	537
443	428	536
444	428	534
445	429	532
446	429	531
447	430	529
448	430	528
449	430	526
450	431	525
451	431	523
452	432	522
453	432	520
454	433	519
455	434	518
456	435	517
457	436	516
458	436	515
459	437	513
460	438	512
461	438	510
462	439	509
463	439	508
464	440	506
465	440	505
466	441	503
467	441	502
468	442	500
469	442	499
470	443	497
471	443	496
472	444	494
473	444	493
474	445	491
475	445	490
476	446	489
477	446	487
478	446	486
479	447	484
480	448	483
481	448	482
482	449	481
483	450	480
484	451	479
485	451	477
486	452	476
487	452	475
488	453	473
489	453	472
490	454	471
491	454	469
492	455	468
493	455	467
494	456	465
495	456	464
496	457	462
497	457	461
498	458	460
499	458	458
500	459	457
501	459	456
502	460	454
503	460	453
504	461	452
505	461	450
506	462	449
507	462	448
508	463	447
509	480	461
510	481	460
511	482	459
512	482	458
513	483	456
514	483	455
515	484	454
516	484	452
517	485	451
518	485	450
519	486	448
520	486	447
521	487	446
522	487	444
523	488	443
524	488	441
525	488	440
526	489	439
527	490	438
528	490	436
529	491	435
530	491	434
531	492	433
532	492	431
533	493	430
534	493	429
535	494	427
536	494	426
537	495	425
538	496	424
539	497	423
540	497	422
541	498	420
542	498	419
543	499	418
544	499	417
545	500	415
546	500	414
547	501	413
548	501	411
549	501	410
550	502	409
551	502	408
552	503	406
553	504	405
554	504	404
555	504	403
556	505	401
557	505	400
558	506	399
559	506	398
560	507	397
561	507	395
562	508	394
563	509	393
564	509	392
565	510	391
566	511	390
567	512	389
568	513	388
569	513	387
570	514	386
571	514	385
572	515	383
573	515	382
574	516	381
575	516	380
576	517	379
577	517	377
578	518	376
579	518	375
580	519	374
581	519	373
582	520	372
583	520	370
584	521	369
585	521	368
586	522	367
587	522	366
588	523	365
589	523	364
590	524	362
591	524	361
592	525	360
593	526	359
594	527	358
595	527	357
596	528	356
597	529	355
598	529	354
599	530	353
600	530	352
601	531	351
602	531	350
603	532	349
604	532	347
605	533	346
606	533	345
607	534	344
608	534	343
609	535	342
610	536	341
611	536	340
612	537	339
613	537	338
614	538	337
615	538	335
616	539	334
617	540	333
618	540	332
619	541	331
620	542	330
621	542	329
622	543	329
623	544	327
624	544	326
625	545	325
626	545	324
627	546	323
628	547	322
629	548	321
630	548	320
631	549	319
632	549	318
633	550	317
634	550	316
635	551	315
636	551	314
637	552	313
638	552	312
639	553	311
640	553	310
641	554	309
642	554	308
643	555	307
644	555	305
645	557	305
646	557	304
647	558	303
648	559	302
649	559	301
650	560	300
651	561	299
652	561	298
653	562	297
654	562	296
655	563	295
656	563	294
657	564	293
658	565	292
659	565	291
660	566	290
661	566	289
662	567	288
663	567	287
664	568	286
665	568	285
666	569	284
667	569	283
668	570	282
669	570	281
670	571	280
671	572	279
672	573	278
673	573	277
674	574	276
675	574	275
676	575	274
677	575	273
678	576	272
679	576	271
680	577	270
681	577	269
682	578	268
683	578	267
684	579	266
685	579	265
686	580	264
687	580	263
688	581	262
689	582	261
690	584	261
691	584	260
692	585	259
693	585	258
694	586	257
695	586	256
696	587	255
697	588	254
698	588	253
699	589	252
700	590	251
701	590	250
702	591	249
703	591	248
704	592	247
705	592	246
706	593	245
707	593	244
708	594	243
709	594	242
710	595	241
711	595	240
712	596	239
713	596	239
714	597	238
715	598	237
716	598	236
717	599	235
718	600	234
719	600	233
720	601	232
721	601	231
722	602	230
723	603	229
724	603	229
725	604	228
726	604	227
727	605	226
728	605	225
729	606	224
730	606	223
731	607	222
732	607	221
733	608	220
734	608	219
735	609	218
736	609	217
737	610	216
738	610	215
739	611	214
740	612	213
741	613	213
742	614	212
743	614	211
744	615	210
745	616	209
746	616	208
747	617	207
748	618	207
749	619	206
750	620	205
751	621	204
752	621	203
753	622	203
754	622	202
755	623	201
756	623	200
757	624	199
758	625	198
759	625	197
760	626	196
761	626	195
762	627	194
763	628	194
764	628	193
765	629	192
766	629	191
767	630	190
768	631	189
769	631	188
770	632	187
771	633	186
772	633	186
773	634	185
774	634	184
775	635	183
776	635	182
777	636	181
778	636	180
779	637	179
780	638	178
781	638	178
782	639	177
783	639	176
784	640	175
785	640	174
786	641	173
787	642	172
788	643	171
789	643	171
790	644	170
791	645	169
792	645	168
793	646	167
794	646	166
795	647	165
796	648	165
797	648	164
798	649	163
799	649	162
800	650	161
801	650	160
802	651	159
803	651	158
804	652	158
805	653	157
806	653	156
807	654	155
808	654	154
809	655	153
810	655	152
811	656	152
812	657	151
813	657	150
814	658	149
815	658	148
816	659	147
817	660	146
818	661	146
